sleep_score,sleep_duration,nap_score,physical_recovery,sleep_start_time,sleep_end_time,is_nap
67.0,255.0,0.0,77.0,2025-02-09 03:46:00-03:00,2025-02-09 08:01:00-03:00,False
59.0,66.0,1.0,10.0,2025-02-09 08:19:00-03:00,2025-02-09 09:25:00-03:00,True
86.0,485.0,0.0,93.0,2025-02-10 00:09:00-03:00,2025-02-10 08:14:00-03:00,False
79.0,339.0,0.0,86.0,2025-02-11 01:57:00-03:00,2025-02-11 07:36:00-03:00,False
90.0,403.0,0.0,93.0,2025-02-12 02:38:00-03:00,2025-02-12 09:21:00-03:00,False
93.0,439.0,0.0,93.0,2025-02-13 01:45:00-03:00,2025-02-13 09:04:00-03:00,False
59.0,191.0,0.0,45.0,2025-02-14 01:11:00-03:00,2025-02-14 04:22:00-03:00,False
54.0,237.0,0.0,34.0,2025-02-14 05:31:00-03:00,2025-02-14 09:28:00-03:00,False
77.0,326.0,0.0,80.0,2025-02-16 02:08:00-03:00,2025-02-16 07:34:30-03:00,False
88.0,480.0,0.0,97.0,2025-02-17 00:27:00-03:00,2025-02-17 08:27:00-03:00,False
77.0,336.0,0.0,87.0,2025-02-18 00:52:00-03:00,2025-02-18 06:28:00-03:00,False
16.0,65.0,1.0,6.0,2025-02-18 07:48:00-03:00,2025-02-18 08:53:00-03:00,True
80.0,456.0,0.0,89.0,2025-02-19 02:02:00-03:00,2025-02-19 09:38:00-03:00,False
58.0,267.0,0.0,84.0,2025-02-20 00:51:00-03:00,2025-02-20 05:18:00-03:00,False
35.0,152.0,1.0,11.0,2025-02-20 06:24:00-03:00,2025-02-20 08:56:00-03:00,True
38.0,95.0,1.0,8.0,2025-02-21 01:42:00-03:00,2025-02-21 03:17:00-03:00,True
62.0,240.0,0.0,57.0,2025-02-21 05:10:00-03:00,2025-02-21 09:10:00-03:00,False
48.0,175.0,1.0,36.0,2025-02-22 00:06:00-03:00,2025-02-22 03:01:00-03:00,True
63.0,375.0,0.0,86.0,2025-02-22 03:31:00-03:00,2025-02-22 09:46:00-03:00,False
42.0,160.0,1.0,42.0,2025-02-23 01:07:00-03:00,2025-02-23 03:47:00-03:00,True
55.0,139.0,1.0,24.0,2025-02-23 07:43:00-03:00,2025-02-23 10:02:00-03:00,True
59.0,279.0,0.0,82.0,2025-02-24 02:02:00-03:00,2025-02-24 06:41:00-03:00,False
30.0,80.0,1.0,7.0,2025-02-24 07:03:00-03:00,2025-02-24 08:23:00-03:00,True
90.0,519.0,0.0,97.0,2025-02-25 02:20:00-03:00,2025-02-25 10:59:30-03:00,False
58.0,176.0,1.0,53.0,2025-02-26 00:42:00-03:00,2025-02-26 03:38:00-03:00,True
66.0,252.0,0.0,66.0,2025-02-26 04:18:00-03:00,2025-02-26 08:30:00-03:00,False
